corpus	token	lemma_guess	count	category	notes
itwac	fare	farire	1164150	phantom_upstream_lemma	lemma_guess=farire
itwac	stato	essere|stare	619842	residual	
itwac	sta	sta	532548	phantom_upstream_lemma	lemma_guess=sta
itwac	data	data	500087	foreign_word	
itwac	conto	conto	459108	foreign_word	
itwac	testo	testo	456391	residual	
itwac	visto	visto	446793	foreign_word	
itwac	serie	serie	357094	residual	
itwac	stata	essere|stare	343308	residual	
itwac	parti	parte|parto	322967	tokeniser_fixable	clitic_verb
itwac	vari	vario|varo	243569	foreign_word	
itwac	sapere	saperire	220966	phantom_upstream_lemma	lemma_guess=saperire
itwac	leggi	legge|leggio	204931	residual	
itwac	ipotesi	ipotesi	202034	residual	
itwac	durata	durata	192512	residual	
itwac	parla	pare	188794	phantom_upstream_lemma	lemma_guess=pare
itwac	migliore	migliore	187252	residual	
itwac	principi	principe|principio	180897	residual	
itwac	entrata	entrata	172419	residual	
itwac	file	fila|file	172065	foreign_word	
itwac	facendo	facendere	162447	phantom_upstream_lemma	lemma_guess=facendere
itwac	pare	pare	159369	phantom_upstream_lemma	lemma_guess=pare
itwac	stati	essere|stare	159146	tokeniser_fixable	clitic_verb
itwac	migliori	migliore	131103	residual	
itwac	testi	teste|testo	128591	tokeniser_fixable	clitic_verb
itwac	conti	conte|conto	121567	residual	
itwac	letto	lettare	120692	phantom_upstream_lemma	lemma_guess=lettare
itwac	uscita	uscita	115061	residual	
itwac	nato	natare	110960	phantom_upstream_lemma	lemma_guess=natare
itwac	definire	definirire	109555	phantom_upstream_lemma	lemma_guess=definirire
itwac	partita	partita	100497	residual	
itwac	calcio	calcio	100297	residual	
itwac	tesi	tesi	99840	residual	
itwac	lasciato	lasciatare	96050	phantom_upstream_lemma	lemma_guess=lasciatare
itwac	lâ	lâ	91011	residual	
itwac	aperto	apertire	87608	phantom_upstream_lemma	lemma_guess=apertire
itwac	morti	morte|morto	81540	tokeniser_fixable	clitic_verb
itwac	avvio	avvio	75383	residual	
itwac	seguito	seguitare	75298	phantom_upstream_lemma	lemma_guess=seguitare
itwac	riuscito	riuscitare	73293	phantom_upstream_lemma	lemma_guess=riuscitare
itwac	state	essere|stare	68491	foreign_word	
itwac	nata	natare	66179	phantom_upstream_lemma	lemma_guess=natare
itwac	indica	indicare|indire	64852	residual	
itwac	andata	andatare	64474	phantom_upstream_lemma	lemma_guess=andatare
itwac	latte	latta|latte	61728	residual	
itwac	devi	deviare|dovere	61423	proper_noun	
itwac	portata	portata	60283	residual	
itwac	morto	mortare	58006	phantom_upstream_lemma	lemma_guess=mortare
itwac	sale	sala|sale	57249	residual	
itwac	usa	usa	55567	phantom_upstream_lemma	lemma_guess=usa
itwac	entrate	entrata	54480	residual	
itwac	consigliere	consigliera|consigliere	52875	residual	
itwac	ottima	buono|ottimo	50693	residual	
itwac	dellâ	dellâ	47574	residual	
itwac	saluto	saluto	45177	residual	
itwac	signore	signora|signore	44626	residual	
itwac	riusciti	riuscitare	42006	phantom_upstream_lemma	lemma_guess=riuscitare
itwac	corretto	correttare	41322	residual	
itwac	arti	arte|arto	41098	residual	
itwac	scad	scad	40915	foreign_word	
itwac	fila	fila|filo	39975	residual	
itwac	subito	subitare	39674	residual	
itwac	triste	triste	38612	residual	
itwac	vite	vita|vite	38346	residual	
itwac	detti	dare|dettare	36339	residual	
itwac	entusiasmo	entusiasmo	35975	residual	
itwac	partite	partita	35860	foreign_word	
itwac	do	do	35575	residual	
itwac	padrone	padrona|padrone	34260	residual	
itwac	bere	berire	34090	residual	
itwac	apporto	apporto	33800	residual	
itwac	espletamento	espletamento	33513	residual	
itwac	domicilio	domicilio	33145	residual	
itwac	assunti	assuntare	32887	residual	
itwac	rosa	rosa	32241	proper_noun	
itwac	collo	collo	31721	tokeniser_fixable	clitic_verb
itwac	seguita	seguitare	31563	phantom_upstream_lemma	lemma_guess=seguitare
itwac	px	px	31547	residual	
itwac	fascino	fascino	31125	residual	
itwac	color	color	30501	foreign_word	
itwac	pressi	pressi	30237	residual	
itwac	mettersi	mettersare	29774	tokeniser_fixable	clitic_verb
itwac	date	data	29069	foreign_word	
itwac	rilancio	rilancio	28966	residual	
itwac	parlo	pare	28596	phantom_upstream_lemma	lemma_guess=pare
itwac	chiamata	chiamata	26978	residual	
itwac	staminali	staminale	26550	residual	
itwac	morta	mortare	26543	phantom_upstream_lemma	lemma_guess=mortare
itwac	allâ	allâ	26447	residual	
itwac	riordino	riordino	26363	residual	
itwac	ripristino	ripristino	25811	residual	
itwac	sentirsi	sentirrere	25806	tokeniser_fixable	clitic_verb
itwac	star	star	25527	proper_noun	
itwac	detta	detta	25493	residual	
itwac	pene	pena|pene	24957	residual	
itwac	saluti	salute|saluto	24770	residual	
itwac	messe	messa|messe	24505	residual	
itwac	generi	genere|genero	24342	residual	
itwac	indicano	indicare|indire	24112	residual	
itwac	raccordo	raccordo	24000	residual	
itwac	perdono	perdere|perdonare	23850	residual	
itwac	informare	informarire	23841	residual	
itwac	distacco	distacco	23804	residual	
itwac	transito	transito	23768	residual	
itwac	fatturato	fatturato	23758	residual	
itwac	ottimi	buono|ottimo	23644	residual	
itwac	ella	ellare	23552	residual	
itwac	ella	ellere	23552	residual	
itwac	taluni	talunare	23382	residual	
itwac	concertazione	concertazione	23058	residual	
itwac	parto	parto	22316	foreign_word	
itwac	regalo	regalo	22034	residual	
itwac	salita	salita	22021	residual	
itwac	mezz	mezz	21853	residual	
itwac	ramo	ramo	21658	residual	
itwac	puntata	puntata	21600	residual	
itwac	lucro	lucro	21368	residual	
itwac	marchi	marchio|marco	21367	residual	
itwac	stili	stile|stilo	21343	tokeniser_fixable	clitic_verb
itwac	chiamate	chiamata	21045	residual	
itwac	effettuazione	effettuazione	20749	residual	
itwac	ferite	ferita	20521	residual	
itwac	declino	declino	20256	residual	
itwac	san	san	20201	proper_noun	
itwac	secco	secco	20099	residual	
itwac	bollo	bollo	20029	residual	
itwac	congedo	congedo	19849	residual	
itwac	esser	ere	19762	residual	
itwac	accoglimento	accoglimento	19717	residual	
itwac	piombo	piombo	19650	residual	
itwac	diabete	diabeta	19506	residual	
itwac	riscatto	riscatto	19377	residual	
itwac	fonda	fondare|fondere	19370	residual	
itwac	lusso	lusso	19271	residual	
itwac	sci	sci	19036	residual	
itwac	quater	quater	19015	residual	
itwac	rami	ramo	18857	foreign_word	
itwac	risiede	risedere|risiedere	18844	residual	
itwac	geni	gene|genio	18729	residual	
itwac	teste	testa|teste	18544	residual	
itwac	preavviso	preavviso	18523	residual	
itwac	candidata	candidata	18522	residual	
itwac	seguiti	seguitare	18508	phantom_upstream_lemma	lemma_guess=seguitare
itwac	usate	usate	18497	residual	
itwac	venti	venti|vento	18061	tokeniser_fixable	clitic_verb
itwac	dâ	dâ	18003	residual	
itwac	distrutto	distruttare	17962	residual	
itwac	cemento	cemento	17686	residual	
itwac	farle	farlere	17627	tokeniser_fixable	clitic_verb
itwac	apparente	apparente	17610	residual	
itwac	capoverso	capoverso	17386	residual	
itwac	author	authore	17101	foreign_word	
itwac	intendersi	intendersare	16860	tokeniser_fixable	clitic_verb
itwac	avvento	avvento	16812	residual	
itwac	uscite	uscita	16763	residual	
itwac	condono	condono	16670	residual	
itwac	schifo	schifo	16518	residual	
itwac	decentramento	decentramento	16496	residual	
itwac	giudicatrice	giudicatore	16447	residual	
itwac	telefonata	telefonata	16385	residual	
itwac	sussidiarietà	sussidiarietà	16363	residual	
itwac	ossigeno	ossigeno	16362	residual	
itwac	border	bordere	16264	foreign_word	
itwac	border	borere	16264	foreign_word	
itwac	portiere	portiera|portiere	16216	residual	
itwac	mar	mar|mare	16136	foreign_word	
itwac	ristretto	restringere|ristringere	15835	residual	
itwac	osservatori	osservatore|osservatorio	15822	residual	
itwac	free	frea	15549	foreign_word	
itwac	perseguimento	perseguimento	15426	residual	
itwac	corresponsione	corresponsione	15350	residual	
itwac	sete	seta|sete	15309	residual	
itwac	scuro	scuro	15197	residual	
itwac	secca	secco	15138	residual	
itwac	ribasso	ribasso	14957	residual	
itwac	testate	testata	14906	foreign_word	
itwac	passeggiata	passeggiata	14810	residual	
itwac	telefonate	telefonata	14810	residual	
itwac	recepimento	recepimento	14756	residual	
itwac	conte	conta|conte	14520	residual	
itwac	accorto	accortare	14484	residual	
itwac	unâ	unâ	14427	residual	
itwac	accantonamento	accantonamento	14409	residual	
itwac	notificazione	notificazione	14304	residual	
itwac	wrote	wrote	14266	foreign_word	
itwac	ottime	buono|ottimo	14221	residual	
itwac	indennizzo	indennizzo	14053	residual	
itwac	testata	testata	13998	foreign_word	
itwac	intreccio	intreccio	13886	residual	
itwac	accreditamento	accreditamento	13814	residual	
itwac	alcuno	alcunare	13604	residual	
itwac	alcuno	alcunere	13604	residual	
itwac	assessorato	assessorato	13524	residual	
itwac	incanto	incanto	13517	residual	
itwac	risultanze	risultanza	13508	residual	
itwac	impugnazione	impugnazione	13491	residual	
itwac	incentivazione	incentivazione	13423	residual	
itwac	difendersi	difendergere	13316	tokeniser_fixable	clitic_verb
itwac	difendersi	difendersare	13316	tokeniser_fixable	clitic_verb
itwac	armonizzazione	armonizzazione	13279	residual	
wikipedia	maria	maria	163312	proper_noun	
wikipedia	maggior	maggior	129373	residual	
wikipedia	america	america	128833	proper_noun	
wikipedia	europa	europa	126309	proper_noun	
wikipedia	carlo	carlo	115529	tokeniser_fixable	clitic_verb
wikipedia	parigi	parigi	88586	proper_noun	
wikipedia	league	league	83935	foreign_word	
wikipedia	tanto	tangere	82334	phantom_upstream_lemma	lemma_guess=tangere
wikipedia	sant	sant	76748	proper_noun	
wikipedia	londra	londra	73027	proper_noun	
wikipedia	spagna	spagna	69258	proper_noun	
wikipedia	firenze	firenze	57053	proper_noun	
wikipedia	russia	russia	54396	proper_noun	
wikipedia	robert	robert	50229	proper_noun	
wikipedia	records	records	49900	residual	
wikipedia	george	george	49416	proper_noun	
wikipedia	xix	xix	48938	numerals_acronyms	
wikipedia	jean	jean	48439	proper_noun	
wikipedia	ricevette	ricevette	43961	residual	
wikipedia	bologna	bologna	43752	proper_noun	
wikipedia	xvi	xvi	43425	numerals_acronyms	
wikipedia	charles	charles	41495	proper_noun	
wikipedia	genova	genova	39315	proper_noun	
wikipedia	brasile	brasile	39238	proper_noun	
wikipedia	thomas	thomas	38697	proper_noun	
wikipedia	australia	australia	38688	proper_noun	
wikipedia	xviii	xviii	38485	numerals_acronyms	
wikipedia	angeles	angeles	36254	residual	
wikipedia	richard	richard	35789	proper_noun	
wikipedia	challenger	challenger	35728	foreign_word	
wikipedia	michele	michele	35167	proper_noun	
wikipedia	atp	atp	34723	numerals_acronyms	
wikipedia	division	division	34394	foreign_word	
wikipedia	martin	martin	34262	proper_noun	
wikipedia	xv	xv	33754	numerals_acronyms	
wikipedia	xiii	xiii	33748	numerals_acronyms	
wikipedia	xvii	xvii	33691	numerals_acronyms	
wikipedia	alcun	alcun	33647	residual	
wikipedia	polonia	polonia	33527	proper_noun	
wikipedia	championship	championship	33084	foreign_word	
wikipedia	xii	xii	32964	numerals_acronyms	
wikipedia	lorenzo	lorenzo	32948	proper_noun	
wikipedia	guglielmo	guglielmo	32835	proper_noun	
wikipedia	american	american	31933	foreign_word	
