rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
1	E'	e'	2807476	2807476	8.5915	0.4991	residual	
2	perche	perche	1283914	4091390	12.5205	0.7273	tokeniser_fixable	
3	piu	piu	1053049	5144439	15.7431	0.9146	tokeniser_fixable	
4	cosi	cosi	906780	6051219	18.5180	1.0758	tokeniser_fixable	
5	farlo	farlo	378367	6429586	19.6759	1.1430	tokeniser_fixable	
6	tanto	tangere	370108	6799694	20.8085	1.2088	phantom_upstream_lemma	to touch, to touch emotionally, to elicit an emotional response in
7	nessun	nessun	176654	6976348	21.3491	1.2402	residual	
8	nessuna	nessun	136923	7113271	21.7681	1.2646	residual	
9	farti	farti	131358	7244629	22.1701	1.2879	tokeniser_fixable	
10	farmi	farmi	118804	7363433	22.5336	1.3090	tokeniser_fixable	
11	perchè	perchè	115085	7478518	22.8858	1.3295	residual	
12	fammi	fammi	93692	7572210	23.1725	1.3462	residual	
13	finche	finche	92284	7664494	23.4550	1.3626	tokeniser_fixable	
14	verita	verita	91974	7756468	23.7364	1.3789	tokeniser_fixable	
15	dirmi	dirmi	90946	7847414	24.0147	1.3951	tokeniser_fixable	
16	dammi	dammi	89931	7937345	24.2899	1.4111	residual	
17	smettila	smettila	88295	8025640	24.5601	1.4268	residual	
18	dirlo	dirlo	86138	8111778	24.8237	1.4421	tokeniser_fixable	
19	saperlo	saperlo	82902	8194680	25.0774	1.4568	tokeniser_fixable	
20	vuol	vuol	80600	8275280	25.3241	1.4711	residual	
21	dev'	dev'	76897	8352177	25.5594	1.4848	residual	
22	dirti	dirti	74899	8427076	25.7886	1.4981	tokeniser_fixable	
23	preoccuparti	preoccuparti	72858	8499934	26.0116	1.5111	tokeniser_fixable	
24	scusami	scusami	69787	8569721	26.2251	1.5235	tokeniser_fixable	
25	Mike	mike	66746	8636467	26.4294	1.5354	proper_noun	
26	vederti	vederti	63493	8699960	26.6237	1.5466	tokeniser_fixable	
27	possibilita	possibilita	62055	8762015	26.8136	1.5577	tokeniser_fixable	
28	Charlie	charlie	59459	8821474	26.9956	1.5682	proper_noun	
29	FBI	fbi	59030	8880504	27.1762	1.5787	numerals_acronyms	FBI
30	esserci	esserci	58493	8938997	27.3552	1.5891	tokeniser_fixable	to be at a place, to be there; there be, it to be, to take place; to occur, to exist or take place [with tra ‘between two people’]
31	Henry	henry	55869	8994866	27.5262	1.5991	proper_noun	
32	I'	i'	55610	9050476	27.6963	1.6090	residual	
